FishEC,Sample,Species_Field_ID,geneticSppID,geneticSex,Preservation_Short,Place.Fished,Collected.by,General.Location,standard_length..mm.,total_length..mm.,collection_date,Landing.Site,Landing_site_Lat,Landing_site_long,Date,NumDays,TotalDays,library
138494.KIG034,KIG034,Stolo,Stolothrissa,Stolo_Sex_B,dried,Presumably near Kigoma,McIntyre,Kigoma,37,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138495.KIG043,KIG043,Stolo,Stolothrissa,Stolo_Sex_B,dried,Presumably near Kigoma,McIntyre,Kigoma,32,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138496.KIG056,KIG056,Limno,Limnothrissa,Limno_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,74,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138497.KIG057,KIG057,Limno,Limnothrissa,Limno_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,80,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138498.KIG058,KIG058,Limno,Limnothrissa,Limno_Sex_B,dried,Presumably near Kigoma,McIntyre,Kigoma,79,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138499.KIG059,KIG059,Limno,Limnothrissa,Limno_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,72,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138500.KIG060,KIG060,Limno,Limnothrissa,Limno_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,69,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138501.KIG067,KIG067,Limno,Limnothrissa,Limno_Sex_B,dried,Presumably near Kigoma,McIntyre,Kigoma,65,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138502.KIG070,KIG070,Limno,Limnothrissa,Limno_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,77,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138503.KIG071,KIG071,Limno,Limnothrissa,Limno_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,69,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138504.KIG076,KIG076,Limno,Limnothrissa,Limno_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,52,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138505.KIG080,KIG080,Limno,Stolothrissa,Stolo_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,55,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138506.KIG081,KIG081,Limno,Limnothrissa,Limno_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,72,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138507.KIG083,KIG083,Limno,Stolothrissa,Stolo_Sex_A,dried,Presumably near Kigoma,McIntyre,Kigoma,62,NA,July.26.2015,Kibirizi or Katonga (Kigoma Market),-4.8608,29.62416,7/26/15,206,-159,FGX lib 1
138508.KIG091,KIG091,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Bought fresh dried Nondwa Point,McIntyre,Kigoma,46,NA,July.9.2015,Kigodeco,-4.8738,29.62073,7/9/15,189,-176,FGX lib 2
138509.KIG092,KIG092,Stolo,Stolothrissa,Stolo_Sex_A,Dried,Bought fresh dried Nondwa Point,McIntyre,Kigoma,42,NA,July.9.2015,Kigodeco,-4.8738,29.62073,7/9/15,189,-176,FGX lib 2
138510.KIG093,KIG093,Stolo,Stolothrissa,Stolo_Sex_B,Dried,Bought fresh dried Nondwa Point,McIntyre,Kigoma,40,NA,July.9.2015,Kigodeco,-4.8738,29.62073,7/9/15,189,-176,FGX lib 2
138511.KIG096,KIG096,Stolo,Limnothrissa,Limno_Sex_B,Dried,Bought fresh dried Nondwa Point,McIntyre,Kigoma,49,NA,July.9.2015,Kigodeco,-4.8738,29.62073,7/9/15,189,-176,FGX lib 2
138512.KIG098,KIG098,Limno,Limnothrissa,Limno_Sex_A,Dried,Mondura Point,McIntyre caught fresh and dried at Tafiri,Kigoma,71,76,September.7.2015,Kigodeco,-4.8738,29.62073,9/7/15,249,-116,FGX lib 2
138513.KIG099,KIG099,Limno,Limnothrissa,Limno_Sex_B,Dried,Mondura Point,McIntyre caught fresh and dried at Tafiri,Kigoma,72,77,September.7.2015,Kigodeco,-4.8738,29.62073,9/7/15,249,-116,FGX lib 2
138514.KIG100,KIG100,Limno,Limnothrissa,Limno_Sex_A,Dried,Mondura Point,McIntyre caught fresh and dried at Tafiri,Kigoma,75,81,September.7.2015,Kigodeco,-4.8738,29.62073,9/7/15,249,-116,FGX lib 2
138515.KIG101,KIG101,Limno,Limnothrissa,Limno_Sex_B,Dried,Mondura Point,McIntyre caught fresh and dried at Tafiri,Kigoma,80,86,September.7.2015,Kigodeco,-4.8738,29.62073,9/7/15,249,-116,FGX lib 2
138516.KIG102,KIG102,Limno,Limnothrissa,Limno_Sex_B,Dried,Mondura Point,McIntyre caught fresh and dried at Tafiri,Kigoma,74,81,September.7.2015,Kigodeco,-4.8738,29.62073,9/7/15,249,-116,FGX lib 2
138517.KIG103,KIG103,Limno,Limnothrissa,Limno_Sex_A,Dried,10 min from Katonga nearshore by boat,McIntyre,Kigoma,34,NA,October.9.2015,Katonga1,-4.8608,29.62416,10/9/15,281,-84,FGX lib 2
138518.KIG104,KIG104,Limno,Limnothrissa,Limno_Sex_B,Dried,10 min from Katonga nearshore by boat,McIntyre,Kigoma,30,NA,October.9.2015,Katonga1,-4.8608,29.62416,10/9/15,281,-84,FGX lib 2
138519.KIG105,KIG105,Limno,Limnothrissa,Limno_Sex_A,Dried,10 min from Katonga nearshore by boat,McIntyre,Kigoma,27,NA,October.9.2015,Katonga1,-4.8608,29.62416,10/9/15,281,-84,FGX lib 2
138520.KIG106,KIG106,Limno,Limnothrissa,Limno_Sex_A,Dried,10 min from Katonga nearshore by boat,McIntyre,Kigoma,30,NA,October.9.2015,Katonga1,-4.8608,29.62416,10/9/15,281,-84,FGX lib 2
138521.KIG107,KIG107,Limno,Limnothrissa,Limno_Sex_A,Dried,10 min from Katonga nearshore by boat,McIntyre,Kigoma,29,NA,October.9.2015,Katonga1,-4.8608,29.62416,10/9/15,281,-84,FGX lib 2
138522.KIG109,KIG109,Unclear,Limnothrissa,Limno_Sex_A,Dried,Kiza GPS,0,Kigoma,81,NA,October.18.2015,Katonga2,-4.8608,29.62416,10/18/15,290,-75,FGX lib 2
138523.KIG110,KIG110,Unclear,Stolothrissa,Stolo_Sex_A,Dried,Kiza GPS,0,Kigoma,69,77,October.18.2015,Katonga2,-4.8608,29.62416,10/18/15,290,-75,FGX lib 2
138524.KIG111,KIG111,Unclear,Stolothrissa,Stolo_Sex_B,Dried,Kiza GPS,0,Kigoma,67,74,October.18.2015,Katonga2,-4.8608,29.62416,10/18/15,290,-75,FGX lib 2
138525.KIG112,KIG112,Unclear,Stolothrissa,Stolo_Sex_A,Dried,Kiza GPS,0,Kigoma,67,74,October.18.2015,Katonga2,-4.8608,29.62416,10/18/15,290,-75,FGX lib 2
138526.KIG113,KIG113,Unclear,Stolothrissa,Stolo_Sex_A,Dried,Kiza GPS,0,Kigoma,57,62,October.18.2015,Katonga2,-4.8608,29.62416,10/18/15,290,-75,FGX lib 2
138527.KIG114,KIG114,Unclear,Stolothrissa,Stolo_Sex_B,Dried,Kiza GPS,0,Kigoma,69,76,October.18.2015,Katonga2,-4.8608,29.62416,10/18/15,290,-75,FGX lib 2
138325.KIL25,KIL25,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,Floating clinic,North DRC,55,62,June.8.2016,Kilomoni_DRC,-3.3665188,29.1362089,6/8/16,159,159,JJ lib 1
138326.KIL26,KIL26,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,45,49,June.8.2016,Kilomoni_DRC,-3.3665188,29.1362089,6/8/16,159,159,JJ lib 1
138327.KIL27,KIL27,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,44,49,June.8.2016,Kilomoni_DRC,-3.3665188,29.1362089,6/8/16,159,159,JJ lib 1
138328.KIL28,KIL28,Stolo,Stolothrissa,Stolo_Sex_A,Dried,NA,Floating clinic,North DRC,45,50,June.8.2016,Kilomoni_DRC,-3.3665188,29.1362089,6/8/16,159,159,JJ lib 1
138329.KIL29,KIL29,Stolo,Stolothrissa,Stolo_Sex_B,Dried,NA,Floating clinic,North DRC,58,66,June.8.2016,Kilomoni_DRC,-3.3665188,29.1362089,6/8/16,159,159,JJ lib 1
